Decreased Smooth Muscle Nerve Growth Factor Activity	N0000008914
Decreased Smooth Muscle Organized Electrical Activity	N0000008918
Decreased Sperm Motility	N0000008924
Decreased Sphincter of Odi Tone	N0000008925
Decreased Spinal Cord Organized Electrical Activity	N0000008945
Decreased Striated Muscle Contraction	N0000008953
Decreased Striated Muscle Organized Electrical Activity	N0000008969
Decreased Striated Muscle Tone	N0000175735
Decreased Sympathetic Norepinephrine Activity	N0000008992
Decreased T Lymphocyte Production	N0000008998
Decreased Testosterone Secretion	N0000009002
Decreased Thromboxane Activity	N0000009004
Decreased Thromboxane Production	N0000009006
Decreased Thyroid Hormone Iodination	N0000009007
Decreased Thyroid Hormone Secretion	N0000009008
Decreased Thyroid Stimulating Hormone Secretion	N0000009001
Decreased Tracheo-Bronchial Mucosal Edema	N0000009970
Decreased Tracheo-Bronchial Secretions	N0000009009
Decreased Tracheobronchial Stretch Receptor Activity	N0000009010
Decreased Transcription to RNA	N0000009011
Decreased Urethra Smooth Muscle Tone	N0000009976
Decreased Uric Acid Synthesis	N0000009013
Decreased Uterine Smooth Muscle Contraction or Tone	N0000009014
Decreased Vascular Smooth Muscle Tone	N0000010271
Decreased Ventilatory Gas Flow	N0000009019
Delay Conduction System Repolarization	N0000010287
Emesis	N0000009033
Emesis Suppression	N0000009034
Emollient Activity	N0000009035
Enhance Penile Erection	N0000009040
General Anesthesia	N0000175975
Glycosaminoglycan Metabolism Increase	N0000020042
Glycosphingolipid Synthesis Decrease	N0000020022
Glycosphingolipid Synthesis Increase	N0000020021
Hemoglobin Function Restoration	N0000193979
Humoral Immunity	N0000185002
Increase Spermatogenesis	N0000009077
Increased Adhesion Factor Production	N0000009082
Increased Adrenal Norepinephrine Secretion	N0000009084
Increased B Lymphocyte Destruction	N0000009113
Increased Bladder Contractility	N0000009116
Increased Blood Pressure	N0000178478
Increased Brain Stem Serotonin Activity	N0000009142
Increased Cardiac Muscle Organized Electrical Activity	N0000009168
Increased Cell Membrane Integrity	N0000009172
Increased Cellular Death	N0000009176
Increased Cellular Locomotion	N0000009177
Increased Cerebral Cortex Dopamine Activity	N0000009229
Increased Cerebral Cortex GABA Activity	N0000009234
Increased Cerebral Cortex Norepinephrine Activity	N0000009242
Increased Cerebral Cortex Organized Electrical Activity	N0000009243
Increased Cervical Dilation	N0000009247
Increased Cholesterol Elimination	N0000009250
Increased Cholesterol Synthesis	N0000009251
Increased Coagulation Factor IX Activity	N0000184153
Increased Coagulation Factor IX Concentration	N0000184157
Increased Coagulation Factor VIII Activity	N0000175914
Increased Coagulation Factor VIII Concentration	N0000175915
Increased Coagulation Factor X Activity	N0000184154
Increased Coagulation Factor X Concentration	N0000184158
Increased Collecting Duct Na+ Excretion	N0000009260
Increased Collecting Duct Water Permeability	N0000009263
Increased Cytokine Activity	N0000009267
Increased Cytokine Degradation	N0000009268
Increased Cytokine Production	N0000009269
Increased DNA Integrity	N0000009270
Increased DNA Replication	N0000009271
Increased Distal Tubule Ca++ Excretion	N0000009273
Increased Distal Tubule Cl- Excretion	N0000009274
Increased Distal Tubule H+ Excretion	N0000009275
Increased Distal Tubule HCO3- Excretion	N0000009276
Increased Distal Tubule K+ Excretion	N0000009277
Increased Distal Tubule Mg++ Excretion	N0000009278
Increased Distal Tubule Na+ Excretion	N0000009279
Increased Distal Tubule PO4-- Excretion	N0000009280
Increased Endothelial Coagulation Activity	N0000009292
Increased Enteric Nervous System Acetylcholine Activity	N0000009294
Increased Epithelial Proliferation	N0000175675
Increased Erythroid Cell Production	N0000009319
Increased Erythropoetin Secretion	N0000009320
Increased Esophageal Motility	N0000009321
Increased Esophageal Muscle Tone	N0000009322
Increased Exocytosis	N0000009323
Increased GHRH Activity	N0000009327
Increased Gallbladder Tone	N0000009333
Increased Gastric Motility	N0000009334
Increased Glomerular Filtration Pressure	N0000009337
Increased Glucagon Secretion	N0000009338
